,Date/Time,Temp (?C),Temp Interpolated (?C),Temp 24-HR AVG (?C)
0,2018-07-01 00:00:00,14.1,14.1,
1,2018-07-01 01:00:00,14.3,14.3,
2,2018-07-01 02:00:00,14.3,14.3,
3,2018-07-01 03:00:00,14.2,14.2,
4,2018-07-01 04:00:00,13.9,13.9,
5,2018-07-01 05:00:00,14.0,14.0,
6,2018-07-01 06:00:00,14.4,14.4,
7,2018-07-01 07:00:00,14.6,14.6,
8,2018-07-01 08:00:00,15.6,15.6,
9,2018-07-01 09:00:00,17.1,17.1,
10,2018-07-01 10:00:00,17.4,17.4,
11,2018-07-01 11:00:00,18.6,18.6,
12,2018-07-01 12:00:00,20.3,20.3,16.454166666666662
13,2018-07-01 13:00:00,19.2,19.2,16.47916666666666
14,2018-07-01 14:00:00,18.4,18.4,16.483333333333327
15,2018-07-01 15:00:00,19.2,19.2,16.466666666666658
16,2018-07-01 16:00:00,19.4,19.4,16.44166666666666
17,2018-07-01 17:00:00,18.9,18.9,16.408333333333328
18,2018-07-01 18:00:00,18.2,18.2,16.374999999999996
19,2018-07-01 19:00:00,16.8,16.8,16.366666666666664
20,2018-07-01 20:00:00,16.2,16.2,16.345833333333328
21,2018-07-01 21:00:00,15.2,15.2,16.366666666666664
22,2018-07-01 22:00:00,15.4,15.4,16.349999999999994
23,2018-07-01 23:00:00,15.2,15.2,16.35416666666666
24,2018-07-02 00:00:00,14.7,14.7,16.308333333333326
25,2018-07-02 01:00:00,14.4,14.4,16.208333333333325
26,2018-07-02 02:00:00,13.9,13.9,16.187499999999993
27,2018-07-02 03:00:00,13.6,13.6,16.220833333333328
28,2018-07-02 04:00:00,13.1,13.1,16.19583333333333
29,2018-07-02 05:00:00,13.2,13.2,16.124999999999996
30,2018-07-02 06:00:00,14.2,14.2,16.08333333333333
31,2018-07-02 07:00:00,14.1,14.1,16.054166666666664
32,2018-07-02 08:00:00,16.1,16.1,16.07083333333333
33,2018-07-02 09:00:00,16.7,16.7,16.074999999999996
34,2018-07-02 10:00:00,17.5,17.5,16.10416666666666
35,2018-07-02 11:00:00,17.5,17.5,16.08333333333333
36,2018-07-02 12:00:00,17.9,17.9,16.02916666666666
37,2018-07-02 13:00:00,18.7,18.7,16.00833333333333
38,2018-07-02 14:00:00,19.2,19.2,15.949999999999996
39,2018-07-02 15:00:00,18.6,18.6,15.84583333333333
40,2018-07-02 16:00:00,17.7,17.7,15.741666666666662
41,2018-07-02 17:00:00,17.9,17.9,15.674999999999995
42,2018-07-02 18:00:00,17.5,17.5,15.599999999999994
43,2018-07-02 19:00:00,17.2,17.2,15.574999999999996
44,2018-07-02 20:00:00,16.3,16.3,15.599999999999994
45,2018-07-02 21:00:00,15.9,15.9,15.599999999999994
46,2018-07-02 22:00:00,14.9,14.9,15.633333333333328
47,2018-07-02 23:00:00,13.9,13.9,15.670833333333327
48,2018-07-03 00:00:00,14.2,14.2,15.754166666666661
49,2018-07-03 01:00:00,13.0,13.0,15.745833333333328
50,2018-07-03 02:00:00,11.4,11.4,15.749999999999995
51,2018-07-03 03:00:00,11.1,11.1,15.80833333333333
52,2018-07-03 04:00:00,11.5,11.5,15.874999999999995
53,2018-07-03 05:00:00,11.4,11.4,15.979166666666663
54,2018-07-03 06:00:00,13.6,13.6,16.07083333333333
55,2018-07-03 07:00:00,14.7,14.7,16.1375
56,2018-07-03 08:00:00,16.1,16.1,16.208333333333332
57,2018-07-03 09:00:00,17.5,17.5,16.2
58,2018-07-03 10:00:00,18.4,18.4,16.224999999999998
59,2018-07-03 11:00:00,19.5,19.5,16.216666666666665
60,2018-07-03 12:00:00,17.7,17.7,16.229166666666668
61,2018-07-03 13:00:00,18.8,18.8,16.245833333333334
